X,Y,Z,Z_Dither,Bregma_AP,Bregma_DV,Bregma_ML,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,ID,Acronym
295.0983,64.6911,215.5682,216.2078,-39.2038,-1147.278,1677.4568,12640.9231,1222,0,0,Left,648,MOp5
266.6383,63.8174,215.6944,214.6473,-42.3601,-1125.4348,965.957,17318.3571,2098.0476,0,0,Left,1021,MOs6a
267.628,63.8802,215.7022,214.3462,-42.5554,-1127.0047,990.6992,15674.25,975.75,0,0,Left,1021,MOs6a
279.7202,65.5964,215.6938,215.5971,-42.3447,-1169.9111,1293.0044,25566.4394,2066.8939,0,0,Left,648,MOp5
286.8676,65.7978,215.6533,215.7989,-41.3323,-1174.9441,1471.6904,27320.6849,1790.8082,0,0,Left,648,MOp5
270.6621,65.1489,215.681,214.4937,-42.0243,-1158.7215,1066.5521,20903.3333,1232.9556,0,0,Left,844,MOp6a
274.6687,65.3678,215.6945,216.9067,-42.3637,-1164.1952,1166.7185,23407.7075,1255.283,0,0,Left,844,MOp6a
276.6837,65.4662,215.6968,215.1459,-42.4195,-1166.6551,1217.0925,23473.5238,1468.619,0,0,Left,844,MOp6a
290.9887,65.8327,215.6063,214.5635,-40.1566,-1175.8163,1574.718,37553.0976,2002.4268,0,0,Left,648,MOp5
282.8258,66.7892,215.6402,216.6147,-41.0053,-1199.7288,1370.6452,23853.22,1931.26,0,0,Left,648,MOp5
269.7179,66.1762,215.6341,216.3377,-40.8532,-1184.4043,1042.9469,15189.5667,1149.6,0,0,Left,844,MOp6a
273.7184,66.399,215.6486,215.8311,-41.2161,-1189.9743,1142.9606,18876.9783,1217.4783,0,0,Left,844,MOp6a
294.1369,66.9231,215.528,215.0195,-38.1993,-1203.0784,1653.4215,16887.2609,1119.1739,0,0,Left,648,MOp5
292.0666,66.933,215.5578,216.7929,-38.9459,-1203.3262,1601.6645,26875.7705,2068.6066,0,0,Left,648,MOp5
278.7606,66.6395,215.6519,217.0081,-41.2966,-1195.9863,1269.0156,30712.358,1563.2222,0,0,Left,844,MOp6a
